airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Princely Jets,2019-06-12,Lahore,Quetta,11:10:00,13:55:00,165,0.0,No Info,3383
Pakistan International Airlines,2019-03-06,Lahore,Peshawar,08:55:00,09:00:00,1445,1.0,No Info,15025
Pakistan International Airlines,2019-03-09,Islamabad,Rahim Yar Khan,02:15:00,19:45:00,1050,1.0,In-flight meal not included,13843
AIR Blue,2019-06-15,Peshawar,Sukkur,19:30:00,20:45:00,75,0.0,No Info,3100
Shaheen Airline,2019-03-01,Quetta,Lahore,17:15:00,19:55:00,160,0.0,No Info,6565
Shaheen Airline,2019-05-18,Quetta,Lahore,20:20:00,22:55:00,155,0.0,No Info,4804
Askari Air lines,2019-03-24,Peshawar,Sukkur,22:45:00,00:10:00,85,0.0,No check-in baggage included,2175
Pakistan International Airlines,2019-03-21,Islamabad,Rahim Yar Khan,19:15:00,18:50:00,1415,2.0,In-flight meal not included,8938
Pakistan International Airlines,2019-03-21,Islamabad,Rahim Yar Khan,10:45:00,04:25:00,1060,2.0,No Info,11093
Pakistan International Airlines,2019-05-12,Quetta,Lahore,21:10:00,12:00:00,890,1.0,No Info,14388
Shaheen Airline,2019-06-24,Islamabad,Rahim Yar Khan,11:55:00,22:30:00,635,1.0,No Info,6442
AIR Blue,2019-04-27,Islamabad,Rahim Yar Khan,05:10:00,08:00:00,170,0.0,No Info,6094
Askari Air lines,2019-03-27,Quetta,Lahore,22:20:00,00:40:00,140,0.0,No Info,3847
Pakistan International Airlines,2019-03-06,Lahore,Peshawar,16:55:00,11:25:00,1110,1.0,No Info,17261
Askari Air lines,2019-03-03,Lahore,Peshawar,15:35:00,23:40:00,485,1.0,No Info,6315
Pakistan International Airlines,2019-04-01,Peshawar,Sukkur,07:05:00,08:30:00,85,0.0,No Info,8040
Pakistan International Airlines,2019-05-06,Quetta,Lahore,09:35:00,18:00:00,505,1.0,In-flight meal not included,12384
Shaheen Airline,2019-05-03,Quetta,Lahore,22:15:00,00:50:00,155,0.0,No Info,4804
Serene Air,2019-05-27,Islamabad,Rahim Yar Khan,03:50:00,19:00:00,910,1.0,No Info,10197
Serene Air,2019-03-06,Islamabad,Rahim Yar Khan,09:45:00,16:10:00,385,1.0,No Info,10276
Pakistan International Airlines,2019-05-18,Quetta,Lahore,16:30:00,23:35:00,425,1.0,No Info,14781
Pakistan International Airlines,2019-05-01,Quetta,Lahore,20:25:00,23:35:00,1630,1.0,In-flight meal not included,9314
Pearl Air,2019-05-24,Quetta,Lahore,20:20:00,22:40:00,1580,1.0,No Info,8452
Shaheen Airline,2019-04-12,Lahore,Quetta,10:10:00,13:00:00,170,0.0,No Info,4591
Shaheen Airline,2019-03-21,Islamabad,Rahim Yar Khan,02:35:00,08:30:00,355,1.0,No Info,8470
Shaheen Airline,2019-05-27,Islamabad,Rahim Yar Khan,11:25:00,21:00:00,575,1.0,No Info,6314
Serene Air,2019-05-09,Islamabad,Rahim Yar Khan,07:30:00,21:00:00,810,1.0,No Info,7670
Shaheen Airline,2019-03-12,Quetta,Lahore,15:10:00,17:45:00,155,0.0,No Info,4148
Shaheen Airline,2019-05-01,Quetta,Lahore,11:30:00,14:05:00,155,0.0,No Info,5644
Shaheen Airline,2019-03-24,Quetta,Lahore,15:10:00,20:15:00,305,1.0,No Info,6762
Pakistan International Airlines,2019-05-06,Quetta,Lahore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Shaheen Airline,2019-05-15,Islamabad,Rahim Yar Khan,15:10:00,20:00:00,290,1.0,No Info,6027
Askari Air lines,2019-06-27,Peshawar,Sukkur,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
AIR Blue,2019-05-21,Quetta,Lahore,16:50:00,05:35:00,765,2.0,No Info,12324
Pakistan International Airlines,2019-03-06,Lahore,Peshawar,05:45:00,23:00:00,1035,1.0,No Info,16736
Pakistan International Airlines,2019-05-09,Islamabad,Rahim Yar Khan,21:50:00,19:00:00,1270,1.0,No Info,15554
AIR Blue,2019-04-15,Lahore,Quetta,17:00:00,19:45:00,165,0.0,No Info,6121
Pearl Air,2019-05-01,Quetta,Lahore,07:10:00,22:40:00,930,1.0,No Info,8452
Pakistan International Airlines,2019-06-24,Islamabad,Rahim Yar Khan,18:20:00,04:25:00,605,2.0,No Info,13775
Shaheen Airline,2019-06-06,Lahore,Quetta,21:15:00,00:15:00,180,0.0,No Info,3943
Askari Air lines,2019-06-15,Quetta,Lahore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Serene Air,2019-06-01,Islamabad,Rahim Yar Khan,10:00:00,01:30:00,930,1.0,No Info,13377
Askari Air lines,2019-04-06,Quetta,Lahore,17:10:00,19:40:00,150,0.0,No Info,3873
Askari Air lines,2019-06-24,Faisalabad,Islamabad,17:45:00,20:05:00,140,0.0,No Info,3597
Pearl Air,2019-03-03,Lahore,Peshawar,09:50:00,12:35:00,165,0.0,No Info,8028
Pakistan International Airlines,2019-04-01,Quetta,Lahore,16:30:00,16:20:00,1430,1.0,No Info,12681
AIR Blue,2019-05-09,Quetta,Lahore,12:00:00,18:30:00,1830,2.0,No Info,9626
Pakistan International Airlines,2019-06-06,Peshawar,Sukkur,10:20:00,11:50:00,90,0.0,No Info,8040
Pearl Air,2019-05-21,Lahore,Quetta,17:00:00,19:35:00,155,0.0,No Info,4878
Pakistan International Airlines,2019-06-06,Islamabad,Rahim Yar Khan,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
AIR Blue,2019-06-18,Peshawar,Sukkur,19:30:00,20:45:00,75,0.0,No Info,3100
Princely Jets,2019-04-18,Lahore,Quetta,11:10:00,13:55:00,165,0.0,No Info,4483
Shaheen Airline,2019-05-01,Peshawar,Sukkur,19:05:00,20:35:00,90,0.0,No Info,2754
AIR Blue,2019-05-21,Islamabad,Rahim Yar Khan,22:00:00,19:15:00,1275,2.0,No Info,10231
Askari Air lines,2019-04-09,Lahore,Quetta,09:30:00,12:20:00,170,0.0,No check-in baggage included,4319
Askari Air lines,2019-05-21,Peshawar,Sukkur,13:15:00,14:45:00,90,0.0,No Info,2017
AIR Blue,2019-04-01,Quetta,Lahore,09:25:00,10:30:00,1505,2.0,No Info,12009
Pakistan International Airlines,2019-06-09,Quetta,Lahore,10:20:00,17:35:00,435,1.0,In-flight meal not included,5608
Shaheen Airline,2019-03-03,Islamabad,Rahim Yar Khan,09:10:00,21:00:00,710,1.0,No Info,14871
Askari Air lines,2019-05-01,Peshawar,Sukkur,13:15:00,14:45:00,90,0.0,No check-in baggage included,2385
Serene Air,2019-06-09,Islamabad,Rahim Yar Khan,11:35:00,01:30:00,835,3.0,No Info,15419
Pakistan International Airlines,2019-03-09,Lahore,Peshawar,21:25:00,07:40:00,615,1.0,In-flight meal not included,7832
Shaheen Airline,2019-06-01,Peshawar,Sukkur,02:35:00,04:05:00,90,0.0,No Info,3175
Pakistan International Airlines,2019-03-09,Islamabad,Rahim Yar Khan,20:50:00,18:50:00,1320,1.0,No Info,16289
Shaheen Airline,2019-03-03,Quetta,Lahore,05:30:00,08:20:00,170,0.0,No Info,4778
Shaheen Airline,2019-03-21,Lahore,Peshawar,10:10:00,13:00:00,170,0.0,No Info,4777
Pakistan International Airlines,2019-04-01,Quetta,Lahore,16:30:00,22:35:00,365,1.0,No Info,12681
Pearl Air,2019-05-01,Quetta,Lahore,20:20:00,10:45:00,865,1.0,No Info,9187
AIR Blue,2019-03-27,Islamabad,Rahim Yar Khan,07:05:00,09:25:00,1580,2.0,No Info,6565
Shaheen Airline,2019-06-03,Islamabad,Rahim Yar Khan,07:35:00,16:10:00,515,1.0,No Info,7514
Shaheen Airline,2019-03-24,Lahore,Peshawar,18:25:00,21:20:00,175,0.0,No Info,8033
Pakistan International Airlines,2019-05-12,Quetta,Lahore,14:05:00,19:50:00,345,1.0,No Info,14781
Shaheen Airline,2019-06-01,Islamabad,Rahim Yar Khan,07:15:00,12:30:00,315,1.0,No Info,6582
Serene Air,2019-05-27,Islamabad,Rahim Yar Khan,07:05:00,21:00:00,835,1.0,In-flight meal not included,10406
Serene Air,2019-03-21,Islamabad,Rahim Yar Khan,09:10:00,18:50:00,580,1.0,No Info,13069
Shaheen Airline,2019-05-09,Faisalabad,Islamabad,07:55:00,10:15:00,140,0.0,No Info,3850
Serene Air,2019-05-18,Islamabad,Rahim Yar Khan,07:10:00,22:30:00,920,1.0,No Info,7740
Pakistan International Airlines,2019-06-09,Islamabad,Rahim Yar Khan,07:05:00,04:25:00,1280,1.0,In-flight meal not included,10262
Pearl Air,2019-04-21,Lahore,Quetta,09:45:00,12:35:00,170,0.0,No Info,5403
Shaheen Airline,2019-05-06,Quetta,Lahore,21:00:00,02:15:00,315,1.0,No Info,7252
Serene Air,2019-03-06,Islamabad,Rahim Yar Khan,10:00:00,18:50:00,530,1.0,No Info,16497
Pakistan International Airlines,2019-06-06,Quetta,Lahore,17:00:00,23:35:00,395,1.0,No Info,14151
Pakistan International Airlines,2019-03-15,Peshawar,Sukkur,19:35:00,21:05:00,90,0.0,In-flight meal not included,2759
Pakistan International Airlines,2019-03-24,Quetta,Lahore,13:55:00,18:10:00,1695,1.0,No Info,14231
Serene Air,2019-05-09,Islamabad,Rahim Yar Khan,17:45:00,01:30:00,465,1.0,No Info,9021
Pakistan International Airlines,2019-05-09,Islamabad,Rahim Yar Khan,18:15:00,19:00:00,1485,1.0,In-flight meal not included,12373
AIR Blue,2019-06-06,Quetta,Lahore,14:30:00,23:15:00,525,2.0,No Info,15894
Pearl Air,2019-06-12,Lahore,Quetta,07:00:00,09:40:00,160,0.0,No Info,4668
Serene Air,2019-03-06,Islamabad,Rahim Yar Khan,07:10:00,21:20:00,850,2.0,In-flight meal not included,7731
Shaheen Airline,2019-05-21,Lahore,Quetta,10:10:00,13:00:00,170,0.0,No Info,3943
Shaheen Airline,2019-06-12,Quetta,Lahore,09:20:00,14:15:00,295,1.0,No Info,11160
Serene Air,2019-03-21,Islamabad,Rahim Yar Khan,14:00:00,01:35:00,695,1.0,No Info,13542
Pakistan International Airlines,2019-05-21,Quetta,Lahore,16:30:00,04:40:00,730,1.0,In-flight meal not included,9663
Pakistan International Airlines,2019-03-06,Lahore,Peshawar,21:25:00,20:20:00,1375,1.0,No Info,17471
Pakistan International Airlines,2019-05-06,Quetta,Lahore,21:10:00,09:20:00,730,1.0,In-flight meal not included,9663
Serene Air,2019-06-06,Islamabad,Rahim Yar Khan,04:55:00,19:00:00,845,1.0,No Info,10678
Pearl Air,2019-06-12,Islamabad,Rahim Yar Khan,14:40:00,17:50:00,190,0.0,No Info,6216
Askari Air lines,2019-06-06,Lahore,Quetta,05:55:00,08:35:00,160,0.0,No Info,3625
Shaheen Airline,2019-03-24,Lahore,Peshawar,18:55:00,21:45:00,170,0.0,No Info,7303
Pakistan International Airlines,2019-05-06,Quetta,Lahore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Shaheen Airline,2019-05-24,Lahore,Quetta,01:30:00,04:15:00,165,0.0,No Info,3419
Askari Air lines,2019-04-06,Lahore,Quetta,09:30:00,12:20:00,170,0.0,No Info,4423
AIR Blue,2019-05-09,Quetta,Lahore,10:00:00,23:15:00,795,1.0,No Info,10203
AIR Blue,2019-06-15,Islamabad,Rahim Yar Khan,10:00:00,19:15:00,555,1.0,No Info,11241
Shaheen Airline,2019-06-24,Peshawar,Sukkur,12:00:00,13:30:00,90,0.0,No Info,2754
AIR Blue,2019-04-03,Quetta,Lahore,09:10:00,11:05:00,1555,2.0,No Info,4647
Pakistan International Airlines,2019-06-27,Islamabad,Rahim Yar Khan,19:30:00,12:35:00,1025,2.0,No Info,13764
Serene Air,2019-05-27,Islamabad,Rahim Yar Khan,08:00:00,21:00:00,780,1.0,No Info,7618
Askari Air lines,2019-06-18,Quetta,Lahore,09:00:00,11:25:00,145,0.0,No Info,3873
Askari Air lines,2019-06-15,Faisalabad,Islamabad,09:45:00,12:00:00,135,0.0,No Info,3597
Pakistan International Airlines,2019-05-12,Quetta,Lahore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Pakistan International Airlines,2019-06-01,Islamabad,Rahim Yar Khan,18:15:00,19:00:00,1485,1.0,No Info,14714
AIR Blue,2019-03-21,Islamabad,Rahim Yar Khan,09:00:00,19:15:00,615,1.0,No Info,6902
Pakistan International Airlines,2019-03-24,Quetta,Lahore,19:45:00,18:10:00,1345,1.0,In-flight meal not included,10031
Pakistan International Airlines,2019-05-06,Quetta,Lahore,06:30:00,10:05:00,1655,1.0,In-flight meal not included,8586
Pakistan International Airlines,2019-05-21,Islamabad,Rahim Yar Khan,17:30:00,04:25:00,655,1.0,In-flight meal not included,12898
Pakistan International Airlines,2019-05-09,Quetta,Lahore,14:05:00,04:40:00,875,1.0,No Info,13941
Pearl Air,2019-03-09,Lahore,Peshawar,09:50:00,12:35:00,165,0.0,No Info,11598
Pakistan International Airlines,2019-03-06,Islamabad,Rahim Yar Khan,17:30:00,19:45:00,1575,1.0,No Info,17024
Shaheen Airline,2019-05-18,Islamabad,Rahim Yar Khan,11:25:00,21:00:00,575,1.0,No Info,7191
Pakistan International Airlines,2019-06-15,Islamabad,Rahim Yar Khan,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10262
Shaheen Airline,2019-06-09,Quetta,Lahore,15:15:00,17:45:00,150,0.0,No Info,5224
AIR Blue,2019-03-27,Peshawar,Sukkur,21:05:00,22:25:00,80,0.0,No Info,2575
Pakistan International Airlines,2019-03-06,Islamabad,Rahim Yar Khan,08:00:00,04:25:00,1225,1.0,No Info,15974
Pearl Air,2019-05-06,Quetta,Lahore,17:00:00,20:20:00,1640,1.0,No Info,8610
Serene Air,2019-05-09,Islamabad,Rahim Yar Khan,12:50:00,01:30:00,760,1.0,No Info,34273
AIR Blue,2019-06-06,Quetta,Lahore,08:20:00,21:50:00,810,2.0,No Info,10697
Star Air Aviation,2019-06-09,Islamabad,Rahim Yar Khan,07:00:00,12:55:00,355,1.0,No Info,5897
Pakistan International Airlines,2019-06-09,Lahore,Quetta,07:10:00,10:10:00,180,0.0,In-flight meal not included,7229
Shaheen Airline,2019-03-27,Quetta,Lahore,05:30:00,08:20:00,170,0.0,No Info,4148
AIR Blue,2019-03-01,Lahore,Peshawar,11:05:00,09:15:00,1330,1.0,No Info,13439
Askari Air lines,2019-06-12,Quetta,Lahore,09:00:00,11:25:00,145,0.0,No Info,3873
Pearl Air,2019-06-03,Lahore,Quetta,17:00:00,19:35:00,155,0.0,No Info,4878
Shaheen Airline,2019-04-06,Lahore,Quetta,20:00:00,22:50:00,170,0.0,No Info,4823
Pakistan International Airlines,2019-03-21,Lahore,Peshawar,14:05:00,20:20:00,375,1.0,In-flight meal not included,7832
Pakistan International Airlines,2019-05-06,Quetta,Lahore,20:25:00,23:35:00,1630,1.0,In-flight meal not included,8066
Serene Air,2019-03-09,Islamabad,Rahim Yar Khan,08:40:00,19:45:00,665,1.0,No Info,18492
AIR Blue,2019-06-09,Quetta,Lahore,07:00:00,01:20:00,1100,2.0,No Info,13033
Serene Air,2019-05-21,Islamabad,Rahim Yar Khan,18:15:00,01:30:00,435,1.0,No Info,14067
Shaheen Airline,2019-03-18,Faisalabad,Islamabad,07:55:00,10:15:00,140,0.0,No Info,3850
Serene Air,2019-05-24,Islamabad,Rahim Yar Khan,09:00:00,19:00:00,600,1.0,No Info,10197
AIR Blue,2019-05-06,Quetta,Lahore,09:25:00,01:20:00,955,2.0,No Info,11458
Pakistan International Airlines,2019-03-21,Lahore,Peshawar,08:00:00,07:40:00,1420,1.0,In-flight meal not included,7832
Pakistan International Airlines,2019-05-21,Quetta,Lahore,16:30:00,04:40:00,730,1.0,No Info,14388
Pakistan International Airlines,2019-06-24,Islamabad,Rahim Yar Khan,18:15:00,04:25:00,610,1.0,In-flight meal not included,10262
Shaheen Airline,2019-03-09,Islamabad,Rahim Yar Khan,11:55:00,21:20:00,565,2.0,No Info,8378
Pakistan International Airlines,2019-05-21,Islamabad,Rahim Yar Khan,16:00:00,19:00:00,1620,1.0,No Info,16079
Pakistan International Airlines,2019-03-27,Islamabad,Rahim Yar Khan,18:15:00,04:25:00,610,1.0,In-flight meal not included,6540
Serene Air,2019-03-03,Islamabad,Rahim Yar Khan,07:10:00,21:20:00,850,2.0,In-flight meal not included,8938
Pakistan International Airlines,2019-06-24,Islamabad,Rahim Yar Khan,02:15:00,12:35:00,620,1.0,No Info,18371
AIR Blue,2019-05-09,Islamabad,Rahim Yar Khan,10:00:00,19:15:00,555,1.0,No Info,8372
Pakistan International Airlines,2019-04-06,Lahore,Quetta,07:10:00,10:10:00,180,0.0,No Info,7229
Pearl Air,2019-06-24,Lahore,Quetta,21:00:00,23:50:00,170,0.0,No Info,4668
Pakistan International Airlines,2019-04-15,Lahore,Quetta,15:15:00,18:10:00,175,0.0,In-flight meal not included,4544
Pakistan International Airlines,2019-03-09,Lahore,Peshawar,21:25:00,08:15:00,650,1.0,In-flight meal not included,9134
Shaheen Airline,2019-03-15,Peshawar,Sukkur,12:00:00,13:25:00,85,0.0,No Info,3175
Shaheen Airline,2019-03-21,Islamabad,Rahim Yar Khan,07:30:00,15:30:00,480,1.0,No Info,10208
Serene Air,2019-06-24,Islamabad,Rahim Yar Khan,12:50:00,21:00:00,490,1.0,In-flight meal not included,6007
Pakistan International Airlines,2019-05-18,Islamabad,Rahim Yar Khan,09:40:00,12:35:00,1615,2.0,In-flight meal not included,13029
Pakistan International Airlines,2019-03-18,Lahore,Peshawar,22:50:00,10:25:00,695,1.0,In-flight meal not included,11087
Serene Air,2019-05-27,Islamabad,Rahim Yar Khan,09:00:00,21:00:00,720,1.0,No Info,7618
Pakistan International Airlines,2019-04-01,Quetta,Lahore,14:05:00,23:35:00,570,1.0,No Info,13364
Askari Air lines,2019-04-01,Islamabad,Rahim Yar Khan,08:45:00,13:15:00,270,1.0,No Info,4812
Pakistan International Airlines,2019-06-18,Lahore,Quetta,08:20:00,11:20:00,180,0.0,No Info,8016
Pakistan International Airlines,2019-05-15,Quetta,Lahore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Pakistan International Airlines,2019-05-18,Lahore,Quetta,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Shaheen Airline,2019-05-18,Islamabad,Rahim Yar Khan,17:10:00,01:30:00,500,1.0,No Info,7081
Princely Jets,2019-05-24,Lahore,Quetta,23:55:00,02:45:00,170,0.0,No Info,4483
Princely Jets,2019-03-03,Lahore,Peshawar,23:25:00,02:10:00,165,0.0,No Info,6477
Askari Air lines,2019-03-21,Quetta,Lahore,06:55:00,09:35:00,160,0.0,No check-in baggage included,3815
Pakistan International Airlines,2019-06-12,Quetta,Lahore,20:00:00,12:00:00,960,1.0,No Info,13044
Pakistan International Airlines,2019-05-18,Quetta,Lahore,09:35:00,14:25:00,1730,1.0,No Info,13067
Princely Jets,2019-05-18,Quetta,Lahore,07:35:00,19:25:00,710,1.0,No Info,5192
Pakistan International Airlines,2019-06-09,Quetta,Lahore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,9663
Pakistan International Airlines,2019-03-18,Lahore,Peshawar,14:05:00,05:05:00,900,1.0,No Info,13555
Shaheen Airline,2019-03-24,Peshawar,Sukkur,16:55:00,18:25:00,90,0.0,No Info,3175
Shaheen Airline,2019-03-24,Lahore,Peshawar,06:00:00,08:45:00,165,0.0,No Info,4777
Serene Air,2019-05-09,Islamabad,Rahim Yar Khan,09:00:00,19:00:00,600,1.0,No Info,10197
Shaheen Airline,2019-06-24,Peshawar,Sukkur,09:10:00,10:40:00,90,0.0,No Info,4049
AIR Blue,2019-03-27,Islamabad,Rahim Yar Khan,17:40:00,08:15:00,875,1.0,No Info,5998
Askari Air lines,2019-06-12,Lahore,Quetta,05:55:00,08:35:00,160,0.0,No check-in baggage included,4319
Pakistan International Airlines,2019-06-03,Islamabad,Rahim Yar Khan,15:00:00,19:00:00,1680,1.0,In-flight meal not included,10262
Pakistan International Airlines,2019-05-12,Quetta,Lahore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
AIR Blue,2019-06-27,Islamabad,Rahim Yar Khan,22:00:00,19:15:00,1275,2.0,No Info,10441
Pakistan International Airlines,2019-03-15,Lahore,Peshawar,05:45:00,10:45:00,300,1.0,In-flight meal not included,9134
AIR Blue,2019-03-27,Islamabad,Rahim Yar Khan,06:05:00,09:25:00,1640,1.0,No Info,5117
Star Air Aviation,2019-06-01,Islamabad,Rahim Yar Khan,14:25:00,19:35:00,310,1.0,No Info,10651
Serene Air,2019-03-03,Islamabad,Rahim Yar Khan,07:05:00,13:20:00,375,1.0,No Info,17057
Pakistan International Airlines,2019-04-12,Lahore,Quetta,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Pakistan International Airlines,2019-06-15,Islamabad,Rahim Yar Khan,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Pakistan International Airlines,2019-05-01,Lahore,Quetta,15:15:00,18:10:00,175,0.0,No Info,7229
Pakistan International Airlines,2019-06-12,Islamabad,Rahim Yar Khan,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
AIR Blue,2019-03-12,Lahore,Peshawar,11:50:00,19:50:00,480,1.0,No Info,11707
Shaheen Airline,2019-05-09,Islamabad,Rahim Yar Khan,04:55:00,21:00:00,965,1.0,No Info,6979
Askari Air lines,2019-04-21,Quetta,Lahore,22:20:00,00:40:00,140,0.0,No check-in baggage included,4807
